name,lng,lat
Kantor Disperindag,112.7375577,-7.2567214
2,112.6709296,-7.2286423
3,112.6591806,-7.2221674
4,112.653075,-7.218253
5,112.6189789,-7.2372733
6,112.6214199,-7.2603241
7,112.6816463,-7.2439679
11,112.6827332,-7.2456317
60,112.708715,-7.229143






