name,lng,lat
Kantor Disperindag,112.7375577,-7.2567214
15,112.729455,-7.333901
20,112.709911,-7.3209703
21,112.7028976,-7.3336026
22,112.7250735,-7.3045786
23,112.6984646,-7.3129088
24,112.7291549,-7.2991854
25,112.7424773,-7.2966734
27,112.7119113,-7.3284504
29,112.6883969,-7.327697





