name,lng,lat
Kantor Disperindag,112.7375577,-7.2567214
14,112.7268026,-7.2620661
16,112.7461804,-7.2771824
17,112.7262167,-7.2631659
26,112.7243574,-7.2569991
61,112.7314008,-7.2516758
63,112.7467188,-7.2695824
65,112.7381102,-7.265747
69,112.7383842,-7.2481005






